Unnamed: 0,CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
1214,201214,44,1,1,8,2,0,3,1,3,3,1,2,1,4,1,0,3,22879
3829,203829,35,1,3,20,3,1,3,4,3,3,1,3,0,1,1,2,3,27306
2622,202622,47,1,3,7,3,0,4,4,3,5,1,3,0,2,1,2,3,29131
1543,201543,32,1,1,6,2,1,3,3,1,4,1,2,0,3,1,0,2,21220
3144,203144,59,1,1,9,1,1,3,4,0,3,2,6,0,2,1,2,1,21157
907,200907,44,1,3,11,3,1,2,3,2,4,0,1,0,5,1,1,4,33213
1426,201426,32,1,1,35,2,0,2,4,0,4,2,2,0,3,1,0,1,17837
4269,204269,27,1,3,7,2,1,3,4,1,3,1,3,0,5,0,2,2,23974
261,200261,38,0,3,8,2,1,2,4,1,3,0,4,0,5,1,1,2,20249
4223,204223,32,1,1,12,1,1,3,4,0,3,1,2,1,4,1,1,1,23499
243,200243,40,1,1,30,1,1,3,3,1,3,1,2,0,3,1,1,2,18319
3533,203533,38,1,1,20,3,1,3,4,1,3,1,3,0,1,0,1,2,22963
228,200228,35,0,3,6,3,0,3,3,3,3,3,2,0,5,1,0,3,23789
1110,201110,35,1,1,8,2,0,3,3,0,5,1,2,1,1,1,1,1,17074
4350,204350,34,1,1,17,3,1,3,6,0,3,1,2,0,5,0,1,1,22086
3870,203870,33,1,1,36,2,0,3,5,0,4,3,3,0,3,1,1,1,21515
87,200087,51,1,1,15,2,1,3,3,0,3,0,4,0,3,1,0,1,17075
1365,201365,29,0,3,30,1,1,2,1,0,5,2,2,0,3,1,1,1,16091
378,200378,34,0,3,25,3,1,3,2,1,3,2,1,1,2,1,2,2,20304
2522,202522,38,1,1,14,3,1,2,4,3,3,2,6,0,2,0,1,3,32342
209,200209,46,1,1,6,3,1,3,3,3,5,1,1,0,2,0,0,3,24396
510,200510,54,1,2,25,3,1,2,3,3,4,0,3,0,3,1,0,3,25725
