Unnamed: 0,CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
1923,201923,26,0,2,23,2,0,2,3,0,3,1,1,1,5,0,1,1,17741
597,200597,42,1,1,6,2,0,2,4,1,3,0,1,1,3,0,1,2,21062
4701,204701,56,0,1,9,2,1,4,4,3,4,1,5,0,1,0,2,3,29654
4662,204662,27,0,3,36,3,1,4,6,1,5,3,2,0,3,1,2,2,23647
2821,202821,37,1,1,9,2,0,4,4,0,3,0,6,0,5,1,1,1,21221
2420,202420,31,1,2,28,2,1,2,5,0,3,1,2,0,1,0,1,1,24852
1468,201468,49,0,3,8,3,1,3,4,1,4,1,3,0,3,1,2,2,20390
1785,201785,43,0,1,16,2,0,2,3,0,3,2,1,0,5,0,0,1,17455
4619,204619,40,1,3,9,2,1,3,2,3,3,3,2,0,1,0,1,3,26558
2607,202607,58,1,1,31,2,1,3,3,3,3,1,5,1,4,1,2,3,28117
2727,202727,56,1,1,27,1,1,3,4,1,3,0,5,1,2,1,2,2,24093
401,200401,56,0,3,12,2,0,2,2,4,5,0,1,0,3,1,0,0,28212
4876,204876,52,1,3,34,2,1,3,4,1,3,2,3,1,5,1,2,2,32704
2352,202352,36,1,1,7,1,0,3,5,3,5,1,3,1,1,1,0,3,25252
586,200586,24,0,1,15,2,1,2,4,0,4,1,2,0,5,1,0,1,17694
702,200702,30,1,3,14,2,1,3,3,3,3,1,6,0,3,1,0,3,22264
2404,202404,25,1,1,15,2,1,2,3,0,5,2,4,0,1,1,0,1,17096
3462,203462,37,1,1,11,2,1,3,5,1,3,3,3,0,5,1,2,2,24488
1983,201983,20,1,1,16,3,1,2,3,0,3,2,2,1,5,1,1,1,16009
3370,203370,44,1,3,11,3,0,3,5,3,3,2,5,0,3,1,1,3,28909
4573,204573,29,1,3,12,3,1,4,4,1,3,3,3,0,3,0,2,2,23586
4525,204525,36,1,1,14,2,1,3,4,3,3,2,5,0,3,0,2,3,28899
